246	20	1509	00	Vucherens	Vucherens	VD
247	20	1510	02	Syens	Syens	VD
248	20	1076	00	Ferlens VD	Ferlens VD	VD
249	10	1077	00	Servion	Servion	VD
250	20	1078	00	Essertes	Essertes	VD
251	20	1673	03	Auboranges	Auboranges	FR
254	20	1110	00	Morges	Morges	VD
255	30	1110	01	Morges 1	Morges 1	VD
256	30	1110	02	Morges 2	Morges 2	VD
259	10	1112	00	Echichens	Echichens	VD
260	20	1167	00	Lussy-sur-Morges	Lussy-sur-Morges	VD
261	10	1132	00	Lully VD	Lully VD	VD
262	10	1131	00	Tolochenaz	Tolochenaz	VD
263	20	1125	00	Monnaz	Monnaz	VD
264	20	1126	00	Vaux-sur-Morges	Vaux-sur-Morges	VD
265	20	1127	00	Clarmont	Clarmont	VD
266	20	1128	00	Reverolle	Reverolle	VD
267	20	1113	00	St-Saphorin-Morges	St-Saphorin-sur-Morges	VD
268	10	1114	00	Colombier VD	Colombier VD	VD
269	20	1115	00	Vullierens	Vullierens	VD
270	10	1116	00	Cottens VD	Cottens VD	VD
271	20	1117	00	Grancy	Grancy	VD
272	20	1304	04	Senarclens	Senarclens	VD
273	20	1121	00	Bremblens	Bremblens	VD
274	10	1122	00	Romanel-sur-Morges	Romanel-sur-Morges	VD
275	10	1123	00	Aclens	Aclens	VD
276	20	1124	00	Gollion	Gollion	VD
279	20	1134	00	Vufflens-Château	Vufflens-le-Château	VD
280	20	1135	00	Denens	Denens	VD
281	20	1136	00	Bussy-Chardonney	Bussy-Chardonney	VD
282	10	1169	00	Yens	Yens	VD
283	20	1168	00	Villars-sous-Yens	Villars-sous-Yens	VD
284	20	1144	00	Ballens	Ballens	VD
285	20	1149	00	Berolle	Berolle	VD
286	20	1146	00	Mollens VD	Mollens VD	VD
287	10	1147	00	Montricher	Montricher	VD
288	10	1142	00	Pampigny	Pampigny	VD
289	20	1141	00	Sévery	Sévery	VD
290	10	1143	00	Apples	Apples	VD
291	10	1145	00	Bière	Bière	VD
293	10	1148	00	L'Isle	L'Isle	VD
294	10	1162	00	St-Prex	St-Prex	VD
295	10	1163	00	Etoy	Etoy	VD
296	20	1164	00	Buchillon	Buchillon	VD
297	20	1165	00	Allaman	Allaman	VD
298	10	1166	00	Perroy	Perroy	VD
299	10	1170	00	Aubonne	Aubonne	VD
303	20	1172	00	Bougy-Villars	Bougy-Villars	VD
304	10	1173	00	Féchy	Féchy	VD
305	20	1174	00	Montherod	Montherod	VD
306	10	1175	00	Lavigny	Lavigny	VD
307	20	1176	00	St-Livres	St-Livres	VD
309	10	1180	00	Rolle	Rolle	VD
312	20	1182	00	Gilly	Gilly	VD
313	10	1183	00	Bursins	Bursins	VD
314	20	1184	01	Vinzel	Vinzel	VD
315	20	1184	00	Luins	Luins	VD
316	10	1185	00	Mont-sur-Rolle	Mont-sur-Rolle	VD
317	20	1186	00	Essertines-Rolle	Essertines-sur-Rolle	VD
318	20	1187	00	St-Oyens	St-Oyens	VD
319	20	1189	00	Saubraz	Saubraz	VD
320	10	1188	00	Gimel	Gimel	VD
322	30	1195	00	Dully-Bursinel	Dully-Bursinel	VD
323	10	1196	00	Gland	Gland	VD
324	10	1197	00	Prangins	Prangins	VD
329	20	1200	00	Genève	Genève	GE
330	80	1200	01	Genève 1	Genève 1	GE
331	80	1200	02	Genève 2 Dépôt	Genève 2 Cornavin Dépôt	GE
332	80	1200	03	Genève 3	Genève 3	GE
333	80	1200	04	Genève 4	Genève 4	GE
334	80	1200	05	Genève 2 Transit	Genève 2 Transit	GE
335	80	1200	06	Genève 6	Genève 6	GE
336	80	1200	07	Genève 7	Genève 7	GE
337	80	1200	08	Genève 8	Genève 8	GE
339	80	1200	11	Genève 11	Genève 11	GE
340	80	1200	12	Genève 12	Genève 12	GE
341	80	1200	13	Genève 13	Genève 13	GE
343	80	1200	17	Genève 17	Genève 17	GE
345	80	1200	19	Genève 19	Genève 19	GE
346	80	1200	20	Genève 20	Genève 20	GE
347	80	1200	21	Genève 21	Genève 21	GE
350	80	1200	26	Genève 26	Genève 26	GE
351	80	1200	28	Genève 28 Balexert	Genève 28 Balexert	GE
352	80	1200	50	Genève (CLT)	Genève Centre logistique	GE
356	80	1200	60	Genève 2 Dist	Genève 2 Distribution	GE
358	80	1200	70	Genève Dist Ba	Genève Dist Ba	GE
367	20	1201	00	Genève	Genève	GE
368	20	1202	00	Genève	Genève	GE
369	20	1203	00	Genève	Genève	GE
370	20	1204	00	Genève	Genève	GE
371	20	1205	00	Genève	Genève	GE
372	20	1206	00	Genève	Genève	GE
373	20	1207	00	Genève	Genève	GE
374	20	1208	00	Genève	Genève	GE
376	20	1209	00	Genève	Genève	GE
380	30	1211	01	Genève 1	Genève 1	GE
381	30	1211	02	Genève 2	Genève 2	GE
382	30	1211	03	Genève 3	Genève 3	GE
383	30	1211	04	Genève 4	Genève 4	GE
384	30	1211	06	Genève 6	Genève 6	GE
385	30	1211	07	Genève 7	Genève 7	GE
386	30	1211	08	Genève 8	Genève 8	GE
388	30	1211	10	Genève 10	Genève 10	GE
389	30	1211	11	Genève 11	Genève 11	GE
390	30	1211	12	Genève 12	Genève 12	GE
391	30	1211	13	Genève 13	Genève 13	GE
393	30	1211	17	Genève 17	Genève 17	GE
395	30	1211	19	Genève 19	Genève 19	GE
396	30	1211	20	Genève 20	Genève 20	GE
397	30	1211	21	Genève 21	Genève 21	GE
398	30	1211	22	Genève 22	Genève 22	GE
399	30	1211	23	Genève 23	Genève 23	GE
402	30	1211	26	Genève 26	Genève 26	GE
403	30	1211	27	Genève 27	Genève 27	GE
404	30	1211	28	Genève 28	Genève 28	GE
408	40	1211	65	Genève 2 Swisscom	Genève 2 Swisscom	GE
411	20	1212	00	Grand-Lancy	Grand-Lancy	GE
412	30	1212	01	Grand-Lancy 1	Grand-Lancy 1	GE
415	20	1213	00	Petit-Lancy	Petit-Lancy	GE
416	30	1213	01	Petit-Lancy 1	Petit-Lancy 1	GE
417	30	1213	02	Petit-Lancy 2	Petit-Lancy 2	GE
